Modalidad de Contratacion,Fecha de Publicacion del Proceso,Referencia del Proceso,Número de Proceso,Descripción del Procedimiento,Cuantía,Unidad de Contratación,URLProceso
Contratación directa,31/01/2020,40009520,"Prestar servicios profesionales para apoyar a la Dirección Técnica de Gestión de Acueducto y Alcantarillado, en todos los asuntos técnico-operativo de las actividades derivadas de los procesos de insp","Prestar servicios profesionales para apoyar a la Dirección Técnica de Gestión de Acueducto y Alcantarillado, en todos los asuntos técnico-operativo de las actividades derivadas de los procesos de inspección, vigilancia y control de los prestadores de los servicios públicos de Acueducto y Alcantarillado",21733000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1077909&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,25/01/2021,080007321,Prestar los Servicios Profesionales de acompañamiento jurídico en las actividades a cargo de la Superintendencia Delegada para la Protección al Usuario y la Gestión en Territorio y las Direcciones Ter,"Prestar los Servicios Profesionales de acompañamiento jurídico en las
actividades a cargo de la Superintendencia Delegada para la Protección al Usuario y la Gestión
en Territorio y las Direcciones Territoriales, así como en el planteamiento, ejecución y
seguimiento de estrategias de seguimiento y control, que permitan garantizar la gestión de las
actividades. tanto de la superintendencia delegada para la protección al usuario y la gestión en
territorio como de las direcciones territoriales.",60400000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1691190&isFromPublicArea=True&isModal=true&asPopupView=true
Mínima cuantía,25/06/2018,SSPD MC 21-2018,Servicios de Auditoria Interna para los Sistemas de Gestión en Implementación,Prestar el servicio de auditoria interna para los Sistemas de Gestión en implementación en la entidad basado en los estándares técnicos en sus versiones vigentes y en los requisitos legales y reglamentarios aplicables,35128986,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.452171&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,06/02/2020,40001920,"Prestar sus servicios profesionales para proferir los actos administrativos y derechos de petición relacionados con las investigaciones adelantadas por la Superintendencia Delegada para Acueducto, Alc","Prestar sus servicios profesionales para proferir los actos administrativos y derechos de petición relacionados con las investigaciones adelantadas por la Superintendencia Delegada para Acueducto, Alcantarillado y Aseo",41866652,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1090070&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,26/03/2020,20004620,"Prestar los servicios profesionales en la Dirección Técnica de Gestión de Gas analizando y presentando informes sobre el cumplimiento regulatorio en temas técnicos, operativos y sobre los indicadores","Prestar los servicios profesionales en la Dirección Técnica de Gestión de Gas analizando y presentando informes sobre el cumplimiento regulatorio en temas técnicos, operativos y sobre los indicadores de calidad asociados a la prestación del servicio con el fin de identificar aspectos que puedan afectar una adecuada prestación de este servicio",24010536,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1179128&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,31/01/2020,60000520,"Prestar sus servicios profesionales a la Dirección de Entidades Intervenidas y en Liquidación, para apoyar las actividades del proceso de intervención, en especial en el componente técnico en los proc","Prestar sus servicios profesionales a la Dirección de Entidades Intervenidas y en Liquidación, para apoyar las actividades del proceso de intervención, en especial en el componente técnico en los procesos de toma de posesión que adelanta la Superservicios de conformidad con la Ley 142 de 1994.",86416655,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1078161&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,19/01/2021,085003121,"Prestar los servicios de Apoyo como Gestor territorial, orientar, recibir y resolver reclamaciones de usuarios, de conformidad con los procedimientos establecidos por la Entidad","Prestar los servicios de Apoyo como Gestor territorial, orientar, recibir y resolver reclamaciones de usuarios, de conformidad con los procedimientos establecidos por la Entidad, remitir oportunamente alertas ciudadanas, reportar diariamente el cumplimiento de los lineamientos del Programa Nacional de Atención al Usuario y apoyar el desarrollo de las actividades de Participación Ciudadana",27249991,DIRECCION TERRITORIAL SUROCCIDENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1671971&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,16/01/2020,50000620,Prestar sus servicios profesionales apoyando el seguimiento a las actividades establecidas en el plan de acción y realizando las actividades de tipo administrativo que se requieran en la Secretaria Ge,Prestar sus servicios profesionales apoyando el seguimiento a las actividades establecidas en el plan de acción y realizando las actividades de tipo administrativo que se requieran en la Secretaria General,31189304,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1043439&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,18/01/2019,130003719,"EL CONTRATISTA se obliga para con LA CONTRATANTE (en adelante la SSPD) a prestar de manera independiente y con sus propios recursos, con absoluta autonomía técnica y directiva, sus servicios profesion","EL CONTRATISTA se obliga para con LA CONTRATANTE (en adelante la SSPD) a prestar de manera independiente y con sus propios recursos, con absoluta autonomía técnica y directiva, sus servicios profesionales para ejercer la representación judicial de la Superintendencia de Servicios Públicos Domiciliarios (SSPD) con relación a los procesos prejurídicos y jurídicos en los que la SSPD actúe como accionante o como accionada, y que le sean asignados mediante acta de entrega (...)",45466653,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.671415&isFromPublicArea=True&isModal=true&asPopupView=true
Mínima cuantía,25/10/2019,SSPD-MC-DTN-006-DE 2019,SSPD-MC-DTN-006-DE 2019,"Contratar el mantenimiento preventivo y correctivo incluyendo el suministro de repuestos necesarios que cubra los aspectos técnicos, mecánicos, eléctricos y electrónicos del funcionamiento de quince (15) equipos de aires acondicionados.",4016250,DIRECCION TERRITORIAL NORTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.965030&isFromPublicArea=True&isModal=true&asPopupView=true
